trip_id,trip_property_id,value
71467311,note,Does not run during school vacation
71467311,trip_type,supplemental
71467318,note,Does not run during school vacation
71467318,trip_type,supplemental
71467329,note,Does not run during school vacation
71467329,trip_type,supplemental
71467382,note,Does not run during school vacation
71467382,trip_type,supplemental
71467417,note,Does not run during school vacation
71467417,trip_type,supplemental
71467571,note,Does not run during school vacation
71467571,trip_type,supplemental
71467665,note,Waits at Green St @ Pearl St for last Red Line train
71467665,trip_type,wait
71468539,note,Waits at Ashmont for last Red Line train
71468539,trip_type,wait
71468540,note,Waits at Ruggles for last Orange Line train
71468540,trip_type,wait
71468544,note,Waits at Kenmore for last Green Line train
71468544,trip_type,wait
71559523,note,Waits at W Broadway @ Broadway Station for last Red Line train
71559523,trip_type,wait
71559636,note,Waits at W Broadway @ Broadway Station for last Red Line train
71559636,trip_type,wait
71560490,note,Waits at Tremont St opp Temple Pl for last Red Line and Green Line trains
71560490,trip_type,wait
71560762,note,Waits at Ruggles for last Orange Line train
71560762,trip_type,wait
71560767,note,Waits at Ruggles for last Orange Line train
71560767,trip_type,wait
71560768,note,Waits at Ruggles for last Orange Line train
71560768,trip_type,wait
71561249,note,Waits at Andrew for last Red Line train
71561249,trip_type,wait
71561254,note,Waits at Boylston St @ Dartmouth St for last Green Line train
71561254,trip_type,wait
71561257,note,Waits at Forest Hills for last Orange Line train
71561257,trip_type,wait
71561641,note,Waits at Green St @ Pearl St for last Red Line train
71561641,trip_type,wait
71562488,note,Waits at Ashmont for last Red Line train
71562488,trip_type,wait
71562489,note,Waits at Ruggles for last Orange Line train
71562489,trip_type,wait
71562493,note,Waits at Kenmore for last Green Line train
71562493,trip_type,wait
71562495,note,Waits at Nubian for last Silver Line bus
71562495,trip_type,wait
71562497,note,Waits at Massachusetts Ave opp Holyoke St for last Red Line train
71562497,trip_type,wait
71562503,note,Waits at Harvard Sq @ Garden St - Dawes Island for last Red Line train
71562503,trip_type,wait
71562505,note,Waits at Nubian for last Silver Line bus
71562505,trip_type,wait
71640811,note,Waits at Harvard for last Red Line train
71640811,trip_type,wait
71640980,note,Waits at Green St @ Magazine St for last Red Line train
71640980,trip_type,wait
71641135,note,Waits at Harvard for last Red Line train
71641135,trip_type,wait
71641137,note,Waits at Harvard for last Red Line train
71641137,trip_type,wait
71641270,note,Waits at Lechmere for last Green Line train
71641270,trip_type,wait
71641357,note,Waits at Western Ave @ Green St for last Red Line train
71641357,trip_type,wait
71641517,note,Waits at Lechmere for last Green Line train
71641517,trip_type,wait
71641562,note,Waits at Lechmere for last Green Line train
71641562,trip_type,wait
71641633,note,Waits at Lechmere for last Green Line train
71641633,trip_type,wait
71641705,note,Waits at Harvard for last Red Line train
71641705,trip_type,wait
71642044,note,Waits at Magazine St @ Green St for last Red Line train
71642044,trip_type,wait
71691400,note,Waits at Harvard for last Red Line train
71691400,trip_type,wait
71691574,note,Waits at Harvard for last Red Line train
71691574,trip_type,wait
71691620,note,Waits at Green St @ Magazine St for last Red Line train
71691620,trip_type,wait
71691773,note,Waits at Western Ave @ Green St for last Red Line train
71691773,trip_type,wait
71691853,note,Waits at Harvard for last Red Line train
71691853,trip_type,wait
71692149,note,Waits at Lechmere for last Green Line train
71692149,trip_type,wait
71692175,note,Waits at Lechmere for last Green Line train
71692175,trip_type,wait
71692294,note,Waits at Lechmere for last Green Line train
71692294,trip_type,wait
71692775,note,Waits at Harvard for last Red Line train
71692775,trip_type,wait
71692948,note,Waits at Harvard for last Red Line train
71692948,trip_type,wait
71692994,note,Waits at Green St @ Magazine St for last Red Line train
71692994,trip_type,wait
71693147,note,Waits at Western Ave @ Green St for last Red Line train
71693147,trip_type,wait
71693227,note,Waits at Harvard for last Red Line train
71693227,trip_type,wait
71693523,note,Waits at Lechmere for last Green Line train
71693523,trip_type,wait
71693549,note,Waits at Lechmere for last Green Line train
71693549,trip_type,wait
71693665,note,Waits at Lechmere for last Green Line train
71693665,trip_type,wait
71694110,note,Does not run during school vacation
71694110,trip_type,supplemental
71694136,note,Waits at Lechmere for last Green Line train
71694136,trip_type,wait
71694327,note,Does not run during school vacation
71694327,trip_type,supplemental
71694335,note,Waits at Main St @ Kendall Station - Red Line for last Red Line train
71694335,trip_type,wait
71694355,note,Does not run during school vacation
71694355,trip_type,supplemental
71694528,note,Does not run during school vacation
71694528,trip_type,supplemental
71694565,note,Waits at Lechmere for last Green Line train
71694565,trip_type,wait
71694683,note,Waits at Lechmere for last Green Line train
71694683,trip_type,wait
71694721,note,Waits at Lechmere for last Green Line train
71694721,trip_type,wait
71694752,note,Does not run during school vacation
71694752,trip_type,supplemental
71694871,note,Waits at Western Ave @ Green St for last Red Line train
71694871,trip_type,wait
71695013,note,Waits at Harvard for last Red Line train
71695013,trip_type,wait
71695314,note,Waits at Harvard for last Red Line train
71695314,trip_type,wait
71695371,note,Waits at Harvard for last Red Line train
71695371,trip_type,wait
71695600,note,Waits at Harvard for last Red Line train
71695600,trip_type,wait
71695609,note,Does not run during school vacation
71695609,trip_type,supplemental
71695762,note,Does not run during school vacation
71695762,trip_type,supplemental
71696031,note,Does not run during school vacation
71696031,trip_type,supplemental
71696184,note,Waits at Green St @ Magazine St for last Red Line train
71696184,trip_type,wait
71696916,note,Waits at Lechmere for last Green Line train
71696916,trip_type,wait
71699914,note,Waits at Main St @ Kendall Station - Red Line for last Red Line train
71699914,trip_type,wait
71700138,note,Waits at Lechmere for last Green Line train
71700138,trip_type,wait
71700255,note,Waits at Lechmere for last Green Line train
71700255,trip_type,wait
71700293,note,Waits at Lechmere for last Green Line train
71700293,trip_type,wait
71700440,note,Waits at Western Ave @ Green St for last Red Line train
71700440,trip_type,wait
71700582,note,Waits at Harvard for last Red Line train
71700582,trip_type,wait
71700883,note,Waits at Harvard for last Red Line train
71700883,trip_type,wait
71700940,note,Waits at Harvard for last Red Line train
71700940,trip_type,wait
71701168,note,Waits at Harvard for last Red Line train
71701168,trip_type,wait
71701743,note,Waits at Green St @ Magazine St for last Red Line train
71701743,trip_type,wait
71825629,note,Waits at Wonderland for last Blue Line train
71825629,trip_type,wait
71825932,note,Does not run during school vacation
71825932,trip_type,supplemental
71825933,note,Does not run during school vacation
71825933,trip_type,supplemental
71825941,note,Does not run during school vacation
71825941,trip_type,supplemental
71825959,note,Waits at Maverick for last Blue Line train
71825959,trip_type,wait
71825967,note,Does not run during school vacation
71825967,trip_type,supplemental
71825986,note,Does not run during school vacation
71825986,trip_type,supplemental
71825995,note,Does not run during school vacation
71825995,trip_type,supplemental
71826044,note,Waits at Congress St @ Haymarket Sta for last Orange Line and Green Line trains
71826044,trip_type,wait
71826085,note,Does not run during school vacation
71826085,trip_type,supplemental
71826086,note,Does not run during school vacation
71826086,trip_type,supplemental
71826109,note,Does not run during school vacation
71826109,trip_type,supplemental
71826117,note,Does not run during school vacation
71826117,trip_type,supplemental
71826128,note,Does not run during school vacation
71826128,trip_type,supplemental
71826149,note,Does not run during school vacation
71826149,trip_type,supplemental
71826153,note,Does not run during school vacation
71826153,trip_type,supplemental
71826170,note,Does not run during school vacation
71826170,trip_type,supplemental
71826209,note,Does not run during school vacation
71826209,trip_type,supplemental
71826304,note,Does not run during school vacation
71826304,trip_type,supplemental
71826349,note,Does not run during school vacation
71826349,trip_type,supplemental
71826388,note,Waits at Maverick for last Blue Line train
71826388,trip_type,wait
71826863,note,Waits at Wonderland for last Blue Line train
71826863,trip_type,wait
71826879,note,Waits at Maverick for last Blue Line train
71826879,trip_type,wait
71827238,note,Waits at Maverick for last Blue Line train
71827238,trip_type,wait
71827314,note,Waits at Wonderland for last Blue Line train
71827314,trip_type,wait
71828642,note,Waits at Wonderland for last Blue Line train
71828642,trip_type,wait
71828658,note,Waits at Maverick for last Blue Line train
71828658,trip_type,wait
71828955,note,Waits at Wonderland for last Blue Line train
71828955,trip_type,wait
71829282,note,Waits at Maverick for last Blue Line train
71829282,trip_type,wait
71829364,note,Waits at Congress St @ Haymarket Sta for last Orange Line and Green Line trains
71829364,trip_type,wait
71829697,note,Waits at Maverick for last Blue Line train
71829697,trip_type,wait
71887654,note,Waits at Wellington for last Orange Line train
71887654,trip_type,wait
71887931,note,Waits at Wellington for last Orange Line train
71887931,trip_type,wait
71887991,note,Waits at Harvard for last Red Line train
71887991,trip_type,wait
71888441,note,Waits at Wellington for last Orange Line train
71888441,trip_type,wait
71888542,note,Waits at Sullivan Square for last Orange Line train
71888542,trip_type,wait
71888615,note,Waits at Sullivan Square for last Orange Line train
71888615,trip_type,wait
71888772,note,Waits at Sullivan Square for last Orange Line train
71888772,trip_type,wait
71888870,note,Waits at Surface Rd @ Hanover St for last Orange Line train
71888870,trip_type,wait
71889123,note,Waits at Wellington for last Orange Line train
71889123,trip_type,wait
71889171,note,Waits at Malden Center for last Orange Line train
71889171,trip_type,wait
71934337,note,Waits at Temple Pl @ Washington St for last Red Line and Orange Line trains
71934337,trip_type,wait
71934343,note,Waits at South Station for last Red Line train
71934343,trip_type,wait
71934351,note,Waits at South Station for last Red Line train
71934351,trip_type,wait
71934355,note,Waits at Back Bay for last Orange Line train
71934355,trip_type,wait
71934487,note,Waits at Ruggles for last Orange Line train
71934487,trip_type,wait
71934534,note,Waits at Mattapan for last Mattapan Trolley train
71934534,trip_type,wait
71942727,note,Waits at Mattapan for last Mattapan Trolley train
71942727,trip_type,wait
71942730,note,Waits at Ruggles for last Orange Line train
71942730,trip_type,wait
71942764,note,Waits at Back Bay for last Orange Line train
71942764,trip_type,wait
71943452,note,Waits at South Station for last Red Line train
71943452,trip_type,wait
71943456,note,Waits at Temple Pl @ Washington St for last Red Line and Orange Line trains
71943456,trip_type,wait
71943663,note,Waits at South Station for last Red Line train
71943663,trip_type,wait
71944113,note,Waits at South Station for last Red Line train
71944113,trip_type,wait
71944319,note,Waits at Back Bay for last Orange Line train
71944319,trip_type,wait
